Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:51:04,null,null,null,null,null,null,4.8489532,7.8392487,2.6800232
2020/01/28 - 17:51:04,null,null,null,null,null,null,5.0002747,7.825592,2.6259155
2020/01/28 - 17:51:04,null,null,null,null,null,null,5.04097,7.654175,2.738678
2020/01/28 - 17:51:04,null,null,null,null,null,null,5.0261383,7.833267,2.8440247
2020/01/28 - 17:51:04,null,null,null,null,null,null,5.016083,7.746109,2.7444305
2020/01/28 - 17:51:04,null,null,null,null,null,null,4.988785,7.832062,2.634781
2020/01/28 - 17:51:05,null,null,null,null,null,null,4.914322,7.8708496,2.675003
2020/01/28 - 17:51:05,null,null,null,null,null,null,4.850403,7.884735,2.6374054
2020/01/28 - 17:51:05,null,null,null,null,null,null,4.8104095,8.106445,2.497589
2020/01/28 - 17:51:05,null,null,null,null,null,null,4.7390594,7.951294,2.6536865
2020/01/28 - 17:51:06,null,null,null,null,null,null,4.654785,7.987213,2.6663818
2020/01/28 - 17:51:06,null,null,null,null,null,null,4.593979,8.098541,2.647705
2020/01/28 - 17:51:06,null,null,null,null,null,null,4.508026,7.9841003,2.8023682
2020/01/28 - 17:51:06,null,null,null,null,null,null,4.36557,8.1631775,2.8272705
2020/01/28 - 17:51:06,null,null,null,null,null,null,4.3195953,8.23764,2.8911896
2020/01/28 - 17:51:07,null,null,null,null,null,null,4.1963043,8.1584015,2.9369202
2020/01/28 - 17:51:07,null,null,null,null,null,null,4.0909576,8.213699,2.9026794
2020/01/28 - 17:51:07,null,null,null,null,null,null,4.0538483,8.254639,3.0276642
2020/01/28 - 17:51:07,null,null,null,null,null,null,4.018173,8.22879,3.0087433
2020/01/28 - 17:51:07,null,null,null,null,null,null,3.9654999,8.285278,2.9955902
2020/01/28 - 17:51:08,null,null,null,null,null,null,3.918579,8.319519,3.0245514
2020/01/28 - 17:51:08,null,null,null,null,null,null,3.8972626,8.222076,3.0480194
2020/01/28 - 17:51:08,null,null,null,null,null,null,3.8290253,8.404526,3.0597534
2020/01/28 - 17:51:08,null,null,null,null,null,null,3.80484,8.336288,2.9948578
2020/01/28 - 17:51:08,null,null,null,null,null,null,3.823288,8.273071,3.0525665
2020/01/28 - 17:51:09,null,null,null,null,null,null,3.7832947,8.387756,2.982895
2020/01/28 - 17:51:09,null,null,null,null,null,null,3.800293,8.429184,2.9129791
2020/01/28 - 17:51:09,null,null,null,null,null,null,3.867813,8.459106,3.046814
