Timestamp,Latitude,Longitude,Bearing,Altitude,Speed (km/h),Location Accuracy (m),Accelerometer X,Accelerometer Y,Accelerometer Z
2020/01/28 - 17:51:48,null,null,null,null,null,null,0.10772705,7.9024506,5.5655212
2020/01/28 - 17:51:48,null,null,null,null,null,null,0.6267853,6.2023315,7.5426483
2020/01/28 - 17:51:48,null,null,null,null,null,null,0.44314575,6.4348145,7.873047
2020/01/28 - 17:51:48,null,null,null,null,null,null,0.15847778,5.859482,7.773926
2020/01/28 - 17:51:48,null,null,null,null,null,null,0.41801453,6.847809,6.3850555
2020/01/28 - 17:51:48,null,null,null,null,null,null,2.120758,7.7326965,4.852051
2020/01/28 - 17:51:49,null,null,null,null,null,null,4.36821,7.9522552,4.524521
2020/01/28 - 17:51:49,null,null,null,null,null,null,4.436432,8.189285,3.4832764
2020/01/28 - 17:51:49,null,null,null,null,null,null,3.71315,8.479462,1.7357483
2020/01/28 - 17:51:49,null,null,null,null,null,null,4.6602936,8.719833,0.1914978
2020/01/28 - 17:51:49,null,null,null,null,null,null,3.9968567,8.36142,-1.5021667
2020/01/28 - 17:51:50,null,null,null,null,null,null,3.8297424,8.764847,-2.8651886
2020/01/28 - 17:51:50,null,null,null,null,null,null,4.097183,8.799561,-0.33476257
2020/01/28 - 17:51:50,null,null,null,null,null,null,4.2367554,6.9541016,-1.3738403
2020/01/28 - 17:51:50,null,null,null,null,null,null,1.4855804,9.785248,2.8141022
2020/01/28 - 17:51:50,null,null,null,null,null,null,1.8782349,9.23555,-0.637146
2020/01/28 - 17:51:51,null,null,null,null,null,null,2.9082184,9.504654,-0.14561462
2020/01/28 - 17:51:51,null,null,null,null,null,null,2.021164,9.054062,0.0847168
2020/01/28 - 17:51:51,null,null,null,null,null,null,1.9996185,9.784531,0.54655457
2020/01/28 - 17:51:51,null,null,null,null,null,null,1.6555786,9.700012,0.40504456
2020/01/28 - 17:51:52,null,null,null,null,null,null,2.6695251,9.861389,0.11105347
2020/01/28 - 17:51:52,null,null,null,null,null,null,2.132019,9.30809,-0.06373596
2020/01/28 - 17:51:52,null,null,null,null,null,null,2.270401,9.488846,-0.24664307
2020/01/28 - 17:51:52,null,null,null,null,null,null,2.3671265,9.303543,-0.35845947
2020/01/28 - 17:51:52,null,null,null,null,null,null,2.7717438,9.335144,0.045211792
2020/01/28 - 17:51:53,null,null,null,null,null,null,2.752594,9.246323,6.713867E-4
2020/01/28 - 17:51:53,null,null,null,null,null,null,3.37677,9.321259,0.15438843
2020/01/28 - 17:51:53,null,null,null,null,null,null,3.5093994,8.997086,0.2597351
2020/01/28 - 17:51:53,null,null,null,null,null,null,3.9839325,8.944885,0.06651306
2020/01/28 - 17:51:53,null,null,null,null,null,null,4.103409,8.750244,0.06340027
2020/01/28 - 17:51:53,null,null,null,null,null,null,4.1223145,8.848404,0.33633423
2020/01/28 - 17:51:54,null,null,null,null,null,null,4.0222473,8.853195,0.30018616
2020/01/28 - 17:51:54,null,null,null,null,null,null,3.597992,8.880966,0.30210876
2020/01/28 - 17:51:54,null,null,null,null,null,null,3.8512878,8.820633,0.1567688
2020/01/28 - 17:51:54,null,null,null,null,null,null,4.2602234,8.805542,0.055267334
2020/01/28 - 17:51:54,null,null,null,null,null,null,4.1529694,8.631485,-0.04864502
2020/01/28 - 17:51:55,null,null,null,null,null,null,4.265732,8.938431,-0.13842773
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.978424,9.022705,-0.025665283
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.7557678,8.993973,-0.14776611
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.4541016,8.941299,-0.45422363
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.183548,8.962845,-0.44224548
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.1093292,9.027481,-0.67448425
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.1572113,9.128052,-0.6721039
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.305664,9.233383,-0.30099487
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.4708557,9.2860565,-0.24113464
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.4421234,9.2022705,-0.49731445
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.3367767,9.235779,-0.81095886
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.413391,9.393799,-0.7702637
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.506775,9.484787,-0.6457672
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.3703003,9.343521,-0.49253845
2020/01/28 - 17:51:55,null,null,null,null,null,null,3.1141205,9.187897,-0.7750397
2020/01/28 - 17:51:55,null,null,null,null,null,null,2.819641,9.151993,-0.77983093
2020/01/28 - 17:51:55,null,null,null,null,null,null,2.6520386,9.295639,-0.66970825
2020/01/28 - 17:51:55,null,null,null,null,null,null,2.5371246,9.336334,-0.9498291
2020/01/28 - 17:51:55,null,null,null,null,null,null,2.3240356,9.321976,-1.1293945
2020/01/28 - 17:51:55,null,null,null,null,null,null,2.0702515,9.542236,-0.80856323
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.8451996,9.688293,-0.5571747
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.9194183,9.501541,-1.0264435
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.7925262,9.314789,-1.4095154
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.4692993,9.412949,-1.5986481
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.5052185,9.728989,-1.7207642
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.732666,9.736176,-1.4885254
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.950531,9.630829,-1.2514954
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.9481506,9.731384,-1.3281097
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.8404083,9.949249,-1.6201935
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.5531006,10.238953,-2.0751038
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.2274933,10.396973,-1.8356781
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.2298889,10.329941,-0.8899689
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.6871796,10.320358,-0.81814575
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.9720917,10.140793,-0.9833374
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.8954773,9.944473,-1.1413574
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.6895752,9.781662,-0.8899689
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.4932404,9.568573,-0.9474335
2020/01/28 - 17:51:55,null,null,null,null,null,null,1.1820068,9.2621155,-1.550766
2020/01/28 - 17:51:55,null,null,null,null,null,null,0.77020264,8.993973,-1.9745483
2020/01/28 - 17:51:55,null,null,null,null,null,null,0.5044403,8.893417,-2.1134033
2020/01/28 - 17:51:55,null,null,null,null,null,null,0.4326172,9.032272,-2.4150696
2020/01/28 - 17:51:55,null,null,null,null,null,null,0.46614075,9.312393,-2.273819
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.4948578,9.5542145,-1.7231445
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.69836426,10.035446,-1.5244293
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.7031555,10.361053,-1.4286652
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.76301575,10.231766,-1.653717
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.93299866,9.915741,-1.7423096
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.930603,9.597305,-2.3001556
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.7965393,9.403381,-3.2338867
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.7199249,9.271698,-3.2745972
2020/01/28 - 17:51:56,null,null,null,null,null,null,0.8779297,9.274094,-2.800537
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.2825623,9.489563,-2.4150696
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.5339508,9.55661,-2.2331085
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.6321106,9.374649,-2.304947
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.6249237,9.104095,-2.7622375
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.6895752,9.151993,-3.2003784
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.7973022,9.233383,-3.0375671
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0463104,9.22142,-2.6832275
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.1348877,9.00354,-2.8029327
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.9313812,8.783279,-3.2889557
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.732666,8.802429,-3.5762634
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.6656342,8.943695,-3.44458
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.7661896,8.993973,-3.202774
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.8308258,8.977203,-3.0184174
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.7613983,8.869476,-3.2841644
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.763794,8.845535,-3.7893524
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.5914154,8.895813,-3.7845612
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.6177368,9.032272,-3.4350128
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.969696,9.077759,-3.3560028
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0870056,9.022705,-3.4326172
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.8978729,8.874252,-3.6241455
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.9529266,8.977203,-3.7318878
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.1923523,8.998764,-3.4350128
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.108551,8.847916,-3.6217499
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0511017,8.744965,-3.8659668
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.170807,8.8311615,-3.8372345
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.2929077,8.936508,-3.4637299
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.2809448,8.723419,-3.4589539
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0822144,8.596527,-4.129318
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.9673004,8.706665,-4.3471985
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0032043,8.833557,-4.009613
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.1253204,8.840744,-3.7701874
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0798187,8.735397,-3.9186401
2020/01/28 - 17:51:56,null,null,null,null,null,null,1.921814,8.713852,-4.313675
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.0032043,8.716248,-4.112564
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.127716,8.84314,-3.9258118
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.2091064,8.962845,-4.1221466
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.16362,8.850311,-4.2610016
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.132492,8.82637,-4.325653
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.2378387,8.926926,-4.112564
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.3120575,8.9891815,-3.978485
2020/01/28 - 17:51:56,null,null,null,null,null,null,2.3503723,8.948486,-4.179596
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.2474213,8.917358,-4.404663
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0941925,8.926926,-4.239456
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.029541,9.171143,-3.712738
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.9984283,9.061005,-3.1812134
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8834991,8.778488,-3.5834503
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.6584473,8.553436,-4.167633
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.5052185,8.50795,-4.4381714
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.7374573,8.6970825,-4.320862
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0894012,8.850311,-4.0790405
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.3862762,9.037064,-3.4493713
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.3168488,8.876648,-3.1165771
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0391235,8.6970825,-3.8324432
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.9194183,8.670746,-4.5794373
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.7709808,8.733002,-4.562668
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.7781525,8.867081,-4.1101685
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8404083,8.792862,-3.736679
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8092804,8.653992,-3.985672
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8763123,8.713852,-4.155655
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8763123,8.536682,-4.0550995
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8092804,8.594131,-4.4860535
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0702515,8.974823,-4.3041077
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.4772644,9.278885,-3.226715
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.510788,9.008331,-2.721527
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.2210846,8.800034,-3.5595093
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0463104,8.919754,-4.136505
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.1684113,9.022705,-3.2745972
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.8308258,8.744965,-3.0160217
2020/01/28 - 17:51:57,null,null,null,null,null,null,1.0479279,8.436127,-3.5187988
2020/01/28 - 17:51:57,null,null,null,null,null,null,0.99046326,8.342743,-3.882721
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.0151825,8.802429,-3.3128967
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.8675232,9.199875,-2.3600159
2020/01/28 - 17:51:57,null,null,null,null,null,null,3.2817078,9.470413,-2.2522736
2020/01/28 - 17:51:57,null,null,null,null,null,null,3.590561,9.566177,-2.4533844
2020/01/28 - 17:51:57,null,null,null,null,null,null,3.609726,9.400986,-2.6233673
2020/01/28 - 17:51:57,null,null,null,null,null,null,3.4421234,9.254944,-2.637741
2020/01/28 - 17:51:57,null,null,null,null,null,null,3.1428528,9.209442,-2.7718048
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.9561005,8.955658,-3.111786
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.5874023,8.608505,-3.4110565
2020/01/28 - 17:51:57,null,null,null,null,null,null,2.491623,8.512741,-3.427826
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,2.491623,8.512741,-3.427826
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,2.582611,8.663574,-3.2745972
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,2.9561005,8.852707,-3.0184174
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.2721405,8.737793,-2.8819427
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.3846588,8.6731415,-2.9537659
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.4612732,8.730606,-2.7957458
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.5953522,8.828766,-2.721527
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.717453,9.037064,-2.558731
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.62648,9.137619,-2.1924133
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.4924011,8.991577,-1.8955383
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.4157867,8.759338,-2.1828308
2020/01/28 - 17:51:57,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.2841034,8.584564,-2.7023773
2020/01/28 - 17:51:58,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.2410126,8.802429,-2.4653473
2020/01/28 - 17:51:58,60.35965446,25.07362992,0.0,35.5880126953125,0.0,51.456,3.3248138,8.993973,-1.574707
